Biosample_RunID	Reads	Bases	Avg_Length
SAMEA7724258_ERR5002037	540108	80810731	149.6195779
SAMEA7723521_ERR5002098	546398	81733498	149.5860124
SAMEA7723885_ERR5004424	547700	81527258	148.853858
SAMEA7723959_ERR5002000	559398	83687652	149.603059
SAMEA7724258_ERR5003316	560558	83881608	149.6394807
SAMEA7724321_ERR5004162	561124	83435014	148.692649
SAMEA7724214_ERR5001931	566926	84848834	149.6647428
SAMEA7723959_ERR5003279	570720	85397718	149.6315496
SAMEA7724214_ERR5003210	584752	87533261	149.6929656
SAMEA7723726_ERR5004250	590010	87636484	148.533896
SAMEA7724321_ERR5004949	595202	88538772	148.7541574
SAMEA7724248_ERR5004798	604772	89714231	148.3438899
SAMEA7724156_ERR5005205	608040	90491661	148.8251776
SAMEA7723686_ERR5002160	609770	91270947	149.6809404
SAMEA7723686_ERR5003439	618368	92565902	149.6938748
SAMEA7723726_ERR5005037	623008	92588398	148.6151029
SAMEA7723932_ERR5003920	669076	99096490	148.1094674
SAMEA7724341_ERR5002149	669950	100280279	149.6832286
SAMEA7724054_ERR5002248	681030	98547368	144.7034169
SAMEA7724341_ERR5003428	689624	103243291	149.7095388
SAMEA7724228_ERR5003915	689714	102358659	148.4073964
SAMEA7724114_ERR5004492	694014	103128368	148.5969563
SAMEA7723932_ERR5004707	695084	102985899	148.1632421
SAMEA7723692_ERR5004214	704188	104728874	148.7228893
SAMEA7723641_ERR5003821	709948	105560068	148.6870419
SAMEA7723871_ERR5001765	713616	106882714	149.7762298
SAMEA7723867_ERR5001762	723854	108133738	149.3861165
SAMEA7724243_ERR5004006	725410	107704833	148.4744255
SAMEA7723871_ERR5003044	728026	109055875	149.7966762
SAMEA7723867_ERR5003041	738528	110330725	149.3927448
SAMEA7723692_ERR5005001	744860	110822378	148.782829
SAMEA7724303_ERR5004082	753318	111949127	148.6080606
SAMEA7724288_ERR5004854	755354	112260089	148.6191759
SAMEA7723871_ERR5003614	768398	114246443	148.6813383
SAMEA7724255_ERR5004019	768968	114141314	148.4344134
SAMEA7723866_ERR5003609	769650	114334094	148.5533606
SAMEA7723641_ERR5004608	770244	114575216	148.7518449
SAMEA7724228_ERR5004702	777884	115505717	148.4870713
SAMEA7724243_ERR5004793	795038	118092116	148.5364423
SAMEA7724303_ERR5004869	812584	120800514	148.6621863
SAMEA7723866_ERR5004396	821418	122067902	148.6063149
SAMEA7723955_ERR5001995	824398	122887178	149.0629259
SAMEA7723471_ERR5001979	840370	125593922	149.4507443
SAMEA7724255_ERR5004806	840718	124852171	148.5065991
SAMEA7724159_ERR5003814	842712	124991104	148.3200714
SAMEA7723955_ERR5003274	844332	125875734	149.0832208
SAMEA7724299_ERR5002062	847418	126719716	149.5362572
SAMEA7724152_ERR5003799	850558	126473000	148.6941514
SAMEA7724171_ERR5005241	856940	126795639	147.9632635
SAMEA7723421_ERR5001815	860708	128391400	149.1695209
SAMEA7724299_ERR5003341	870604	130209965	149.562792
SAMEA7724159_ERR5004601	882108	130881174	148.3731856
