Biosample	Reads	Bases
SAMEA7723639	354332	52713220
SAMEA7723482	337736	50262198
SAMEA7723464	335296	49605823
SAMEA7723931	327504	48660748
SAMEA7723547	294212	43992006
SAMEA7724290	259350	38511251
SAMEA7723657	243548	36230972
SAMEA7724144	240820	35754943
SAMEA7723492	238522	35448065
SAMEA7723974	237284	35301747
SAMEA7724050	231710	34452676
SAMEA7724042	219362	32625720
SAMEA7724138	192098	28484975
SAMEA7723869	190830	28398741
SAMEA7724257	188722	28020593
SAMEA7723965	185234	27566151
SAMEA7724127	177120	26329102
SAMEA7723962	176388	25807460
SAMEA7723498	162726	24194043
SAMEA7724103	152242	22596681
SAMEA7723484	151516	22468584
SAMEA7724370	150006	22280792
SAMEA7723960	148588	22116162
SAMEA7724331	147042	21845916
SAMEA7724148	127942	19035000
SAMEA7724123	127580	18940033
SAMEA7723651	126606	18818959
SAMEA7723494	113676	16917028
SAMEA7723684	113266	16818145
SAMEA7723493	110526	16486236
SAMEA7723975	91582	13590347
SAMEA7724234	88030	13077622
SAMEA7723499	85336	12686460
SAMEA7724301	85216	12681520
SAMEA7724219	83472	12396953
SAMEA7724242	78438	11655516
SAMEA7723961	64434	9539577
SAMEA7724311	55138	8195996
SAMEA7724122	49164	7297367
SAMEA7723486	45102	6700297
SAMEA7723489	39426	5865962
SAMEA7724126	35592	5282701
SAMEA7723626	32984	4905164
SAMEA7724407	32014	4756381
SAMEA7724250	30524	4534464
SAMEA7724330	29662	4406217
SAMEA7724124	28874	4283131
SAMEA7724245	28130	4179240
SAMEA7723545	27806	3954474
SAMEA7724113	27100	4028316
SAMEA7724328	25710	3822279
SAMEA7724324	25482	3785706
SAMEA7723546	23938	3564140
SAMEA7724236	21242	3155535
SAMEA7723722	20552	3055104
SAMEA7723409	17568	2612372
SAMEA7724262	17530	2607381
SAMEA7724235	15258	2269604
SAMEA7724254	15078	2239271
SAMEA7724335	14418	2142853
SAMEA7724323	14178	2107911
SAMEA7724405	13410	1989956
SAMEA7724275	13144	1952181
SAMEA7723724	10576	1551393
SAMEA7724267	9170	1360476
SAMEA7724247	8908	1322328
SAMEA7724287	7614	1131427
SAMEA7723737	6688	994938
SAMEA7723739	5014	745231
SAMEA7724238	4562	676455
SAMEA7724272	4288	637120
SAMEA7727180	4256	632996
SAMEA7724327	4214	626154
SAMEA7724218	3948	586977
SAMEA7723738	3620	535794
SAMEA7724266	3440	511143
SAMEA7724277	2802	416478
SAMEA7724271	2516	374026
SAMEA7723548	2128	311318
SAMEA7724403	1474	217175
SAMEA7724322	1186	176473
SAMEA7723434	1128	167414
SAMEA7724120	968	143508
SAMEA7724260	930	138267
SAMEA7724119	696	103361
SAMEA7724274	636	94374
SAMEA7724264	570	84593
SAMEA7724251	566	84234
SAMEA7723487	544	80333
SAMEA7724406	538	79732
SAMEA7723710	520	77207
SAMEA7724265	478	70986
SAMEA7723712	448	66357
SAMEA7727182	440	65210
SAMEA7724404	312	46453
SAMEA7727184	290	43048
SAMEA7724106	280	40407
SAMEA7723483	132	19492
SAMEA7724224	88	12967
SAMEA7727181	60	8929
SAMEA7723436	42	6259
SAMEA7723720	38	5613
SAMEA7727183	20	2992
